division,date,percentage
Low,2018-07-01,2
Low,2018-08-01,2
Low,2018-09-01,0
Low,2018-10-01,-2
Low,2018-11-01,-3
Low,2018-12-01,-3
Low,2019-01-01,-1
Low,2019-02-01,-1
Low,2019-03-01,-1
Low,2019-04-01,-4
Low,2019-05-01,2
Low,2019-06-01,-7
Low,2019-07-01,-5
Low,2019-08-01,-2
Low,2019-09-01,-8
Low,2019-10-01,-5
Low,2019-11-01,-2
Low,2019-12-01,-2
Low,2020-01-01,-7
Low,2020-02-01,-11
Low,2020-03-01,-18
Low,2020-04-01,-63
Low,2020-05-01,-30
Low,2020-06-01,-23
Low,2020-07-01,-21
Low,2020-08-01,-17
Low,2020-09-01,-11
Low,2020-10-01,-9
Low,2020-11-01,-14
Low,2020-12-01,1
Low,2021-01-01,-13
Low,2021-02-01,-6
Low,2021-03-01,-1
Low,2021-04-01,146
Low,2021-05-01,22
Low,2021-06-01,12
Low,2021-07-01,-6
Low,2021-08-01,-5
Low,2021-09-01,-4
Low,2021-10-01,-10
Low,2021-11-01,-14
Low,2021-12-01,-4
Low,2022-01-01,-2
Low,2022-02-01,-9
Low,2022-03-01,-6
Low,2022-04-01,-13
Low-Medium,2018-07-01,0
Low-Medium,2018-08-01,1
Low-Medium,2018-09-01,-1
Low-Medium,2018-10-01,-2
Low-Medium,2018-11-01,-3
Low-Medium,2018-12-01,-4
Low-Medium,2019-01-01,-1
Low-Medium,2019-02-01,-2
Low-Medium,2019-03-01,0
Low-Medium,2019-04-01,-4
Low-Medium,2019-05-01,4
Low-Medium,2019-06-01,-4
Low-Medium,2019-07-01,-3
Low-Medium,2019-08-01,-1
Low-Medium,2019-09-01,-7
Low-Medium,2019-10-01,-3
Low-Medium,2019-11-01,0
Low-Medium,2019-12-01,-8
Low-Medium,2020-01-01,-1
Low-Medium,2020-02-01,-6
Low-Medium,2020-03-01,-21
Low-Medium,2020-04-01,-64
Low-Medium,2020-05-01,-36
Low-Medium,2020-06-01,-30
Low-Medium,2020-07-01,-28
Low-Medium,2020-08-01,-22
Low-Medium,2020-09-01,-14
